UserID,DeviceID,LogTime,S No
506,OX-8862021010095,2022-09-27 18:29:33,10763
624,OX-8862021010082,2022-09-27 18:32:42,11561
563,OX-8862021010082,2022-09-27 18:33:48,11562
27,OX-8862021010097,2022-09-27 18:33:31,8145
76,OX-8862021010099,2022-09-27 18:36:33,13388
547,OX-8862021010003,2022-09-27 18:38:28,21796
626,OX-8862021010095,2022-09-27 18:34:39,10764
9,FC-8300T20094181,2022-09-27 18:35:06,20203
625,OX-8862021010002,2022-09-27 18:38:48,12562
526,FC-8300T20094182,2022-09-27 18:37:33,52661
640,OX-8862021010012,2022-09-27 18:37:04,6039
544,OX-8862021010099,2022-09-27 18:38:48,13389
196,FC-8300T20094182,2022-09-27 18:37:59,52662
628,OX-8862021010029,2022-09-27 18:39:25,4240
201,OX-8862021010003,2022-09-27 18:40:35,21797
588,OX-8862021010002,2022-09-27 18:42:07,12563
23,OX-8862021010002,2022-09-27 18:42:35,12564
125,OX-8862021010092,2022-09-27 18:40:25,23634
234,OX-8862021010012,2022-09-27 18:41:29,6040
282,FC-8300T20094181,2022-09-27 18:40:06,20204
1,OX-8862021010010,2022-09-27 18:43:38,3630
62,OX-8862021010015,2022-09-27 18:41:28,14883
196,FC-8300T20094182,2022-09-27 18:43:34,52663
48,FC-8300T20094181,2022-09-27 18:41:44,20205
553,OX-8862021010029,2022-09-27 18:45:13,4241
553,OX-8862021010029,2022-09-27 18:45:17,4242
563,OX-8862021010082,2022-09-27 18:44:52,11563
565,OX-8862021010015,2022-09-27 18:43:17,14884
610,OX-8862021010092,2022-09-27 18:44:49,23635
1,OX-8862021010010,2022-09-27 18:43:44,3631
1,OX-8862021010010,2022-09-27 18:44:39,3632
1,OX-8862021010010,2022-09-27 18:44:43,3633
1,OX-8862021010010,2022-09-27 18:44:47,3634
1,OX-8862021010010,2022-09-27 18:44:51,3635
1,OX-8862021010010,2022-09-27 18:44:57,3636
1,OX-8862021010010,2022-09-27 18:45:33,3637
1,OX-8862021010010,2022-09-27 18:45:41,3638
1,OX-8862021010010,2022-09-27 18:45:45,3639
1,OX-8862021010010,2022-09-27 18:47:04,3640
588,OX-8862021010002,2022-09-27 18:48:28,12565
1,OX-8862021010010,2022-09-27 18:48:28,3641
1,OX-8862021010010,2022-09-27 18:48:36,3642
1,OX-8862021010010,2022-09-27 18:48:52,3643
1,OX-8862021010010,2022-09-27 18:48:56,3644
1,OX-8862021010010,2022-09-27 18:49:01,3645
1,OX-8862021010010,2022-09-27 18:49:08,3646
1,OX-8862021010010,2022-09-27 18:49:44,3649
30,OX-8862021010082,2022-09-27 18:49:02,11564
634,OX-8862021010078,2022-09-27 18:51:47,13009
526,FC-8300T20094182,2022-09-27 18:50:05,52664
46,OX-8862021010024,2022-09-27 18:50:42,13990
565,OX-8862021010015,2022-09-27 18:48:43,14885
1,OX-8862021010011,2022-09-27 18:52:03,1368
628,OX-8862021010029,2022-09-27 18:52:36,4243
289,FC-8300T20094182,2022-09-27 18:51:46,52665
626,OX-8862021010095,2022-09-27 18:50:58,10765
588,OX-8862021010002,2022-09-27 18:54:59,12566
62,OX-8862021010015,2022-09-27 18:53:22,14886
592,OX-8862021010094,2022-09-27 18:53:28,11335
512,OX-8862021010030,2022-09-27 18:54:23,14908
531,OX-8862021010100,2022-09-27 18:55:54,18769
512,OX-8862021010030,2022-09-27 18:55:03,14909
196,FC-8300T20094182,2022-09-27 18:56:30,52666
526,FC-8300T20094182,2022-09-27 18:57:11,52667
513,FC-8300T20094181,2022-09-27 18:56:09,20206
619,OX-8862021010096,2022-09-27 18:55:46,7546
521,OX-8862021010099,2022-09-27 19:00:10,13390
273,OX-8862021010030,2022-09-27 18:58:29,14910
204,OX-8862021010013,2022-09-27 18:58:03,6620
524,OX-8862021010003,2022-09-27 19:01:18,21798
201,OX-8862021010003,2022-09-27 19:01:32,21799
595,FC-8300T20094182,2022-09-27 18:59:59,52668
124,OX-8862021010095,2022-09-27 18:57:57,10766
547,OX-8862021010003,2022-09-27 19:02:49,21800
522,OX-8862021010092,2022-09-27 19:00:01,23636
670,FC-8300T20094182,2022-09-27 19:01:29,52669
563,OX-8862021010082,2022-09-27 19:01:32,11565
80,OX-8862021010097,2022-09-27 19:00:19,8146
326,OX-8862021010097,2022-09-27 19:00:27,8147
621,OX-8862021010092,2022-09-27 19:01:01,23637
570,FC-8300T20094179,2022-09-27 19:02:11,33974
